Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
7,99,Yes,9,1
4,82,No,4,2
8,51,Yes,7,2
5,52,Yes,5,2
7,75,No,8,5
3,78,No,9,6
7,73,Yes,5,6
8,45,Yes,4,6
5,77,No,8,2
4,89,No,4,0
8,91,No,4,5
8,79,No,6,2
3,47,No,9,2
6,47,No,4,2
5,79,No,7,8
2,72,No,4,3
8,73,Yes,8,4
6,83,Yes,7,2
2,54,Yes,4,9
5,75,No,7,0
1,99,Yes,4,3
6,96,No,9,0
9,74,Yes,7,6
1,85,No,5,6
3,61,No,6,3
7,62,Yes,7,4
4,79,No,8,9
9,84,Yes,6,6
3,94,Yes,6,5
5,90,Yes,4,3
3,61,Yes,7,3
7,44,Yes,9,1
5,70,Yes,6,9
9,52,Yes,8,1
7,67,Yes,9,3
2,97,Yes,9,4
4,59,No,8,3
9,72,No,8,2
2,55,Yes,4,1
9,68,No,5,3
5,62,No,7,4
2,63,Yes,6,0
4,73,Yes,7,0
7,46,No,9,5
8,77,Yes,6,4
3,76,Yes,4,3
1,43,Yes,7,0
4,73,No,4,6
2,81,Yes,4,3
8,61,No,7,2
4,44,Yes,7,6
2,89,Yes,6,1
6,81,No,9,9
6,62,Yes,9,0
4,93,No,8,3
6,99,No,4,7
2,54,Yes,9,5
2,70,Yes,5,8
4,98,No,6,0
8,48,No,6,0
7,82,Yes,8,4
9,97,Yes,8,5
8,92,Yes,4,7
5,64,Yes,6,2
2,64,Yes,6,5
5,88,No,5,2
8,60,No,4,7
9,48,No,4,3
9,94,No,9,1
1,87,Yes,8,8
9,77,No,9,9
7,61,Yes,4,7
9,82,Yes,5,5
8,62,Yes,4,2
1,88,Yes,9,1
8,43,Yes,7,3
8,68,No,7,3
3,54,Yes,5,0
1,40,Yes,8,8
8,93,Yes,6,9
3,69,No,4,7
3,68,Yes,9,6
1,59,Yes,8,5
5,72,Yes,9,2
7,80,No,8,3
9,83,Yes,4,1
7,75,No,6,6
9,99,No,4,1
8,61,Yes,6,9
2,52,No,9,0
1,46,No,5,5
7,47,Yes,6,3
7,67,Yes,8,7
8,84,Yes,5,0
5,82,Yes,9,8
3,48,No,7,5
8,64,No,5,1
6,95,Yes,6,7
3,55,Yes,5,4
1,49,Yes,9,4
3,50,No,5,4
5,70,Yes,9,6
3,51,No,7,6
1,99,No,6,9
5,70,No,8,6
7,53,No,5,9
7,90,Yes,4,1
9,83,Yes,8,7
3,71,Yes,5,0
7,89,No,8,1
1,92,No,4,6
4,56,Yes,8,3
4,74,No,8,9
5,40,No,4,9
7,68,No,4,8
7,90,Yes,4,8
4,43,Yes,7,2
7,62,Yes,9,2
3,67,No,9,8
6,55,Yes,4,9
2,51,Yes,9,7
9,92,Yes,8,0
5,60,No,4,5
6,84,No,5,6
4,56,No,4,7
7,79,No,4,1
9,52,No,9,0
7,91,Yes,6,3
1,97,Yes,8,0
1,71,No,9,1
9,76,No,8,2
9,89,Yes,5,3
4,54,No,7,5
9,51,No,6,7
3,88,No,5,8
7,96,No,5,3
6,54,No,8,0
8,73,Yes,6,4
9,45,Yes,8,4
5,56,No,7,8
1,87,No,8,5
3,88,Yes,4,4
8,96,No,8,9
6,59,Yes,4,9
8,48,No,5,4
9,98,Yes,7,7
4,44,Yes,9,0
1,62,No,4,4
1,72,No,7,0
4,77,Yes,8,6
7,95,No,9,6
2,53,Yes,8,9
3,56,No,5,7
1,96,No,8,6
5,58,No,4,8
1,72,Yes,5,7
8,40,Yes,7,7
1,52,No,5,2
1,85,Yes,7,9
2,66,No,6,3
2,45,Yes,4,3
6,98,No,4,0
7,45,Yes,7,5
5,72,Yes,8,1
1,69,Yes,9,8
1,85,Yes,8,0
3,74,Yes,6,0
2,62,Yes,7,9
5,49,No,6,5
6,90,No,7,0
7,58,Yes,6,2
4,90,No,7,9
7,67,Yes,4,1
8,62,No,6,8
1,43,No,6,4
6,59,No,7,5
8,58,No,5,1
5,81,Yes,5,7
4,66,No,4,5
2,96,No,8,7
6,73,No,8,7
6,43,Yes,4,0
1,95,No,8,6
9,77,Yes,9,1
6,46,Yes,9,7
3,87,No,9,1
4,46,Yes,9,3
4,89,No,7,1
3,91,No,5,6
3,65,No,4,4
3,65,No,7,8
4,93,No,9,4
7,58,No,4,7
4,48,No,5,1
9,59,Yes,8,2
1,81,Yes,7,5
8,84,No,5,6
7,89,No,4,9
2,55,Yes,6,7
8,93,No,7,2
1,56,Yes,4,6
9,61,Yes,4,7
9,52,No,5,9
2,51,No,4,5
7,49,Yes,7,3
3,40,Yes,9,5
7,71,No,7,8
9,69,No,4,2
4,47,Yes,5,1
1,60,Yes,7,4
2,61,Yes,6,6
1,57,No,9,2
5,41,No,8,4
5,87,No,5,3
7,83,Yes,5,6
9,48,Yes,8,1
9,42,No,8,6
3,93,Yes,7,1
3,65,Yes,4,2
3,60,Yes,4,4
4,69,Yes,6,6
8,67,Yes,9,5
6,75,No,4,6
8,65,No,6,5
1,73,No,6,0
8,47,No,5,4
4,49,No,5,0
1,87,Yes,9,6
8,94,Yes,7,3
4,82,Yes,8,4
6,89,No,8,0
8,93,Yes,9,7
4,53,Yes,6,3
3,79,Yes,9,2
9,94,No,8,0
3,54,Yes,6,3
9,56,Yes,8,2
2,92,No,7,7
2,57,No,5,8
2,71,Yes,5,4
6,77,No,6,8
3,62,Yes,9,0
9,85,No,8,6
4,62,Yes,4,6
1,74,Yes,7,5
4,78,No,8,3
1,54,No,4,8
5,92,No,7,2
4,63,No,7,0
8,67,Yes,5,1
8,55,No,6,2
7,55,Yes,8,1
3,79,Yes,7,5
1,78,Yes,8,6
1,45,No,7,4
3,41,Yes,9,4
6,93,Yes,5,6
7,52,No,6,5
6,83,Yes,4,7
6,86,Yes,4,8
6,98,Yes,9,1
3,48,No,5,1
6,73,Yes,7,0
8,56,Yes,5,6
2,66,Yes,6,3
5,68,No,4,8
1,76,No,8,5
1,82,No,4,6
5,61,Yes,6,6
3,90,Yes,7,7
4,63,Yes,5,3
3,46,Yes,4,2
1,73,Yes,4,2
1,87,No,8,9
5,51,Yes,5,7
6,62,Yes,8,2
3,54,No,8,7
9,72,No,7,1
5,96,Yes,4,4
8,52,No,9,4
1,62,No,5,6
5,77,No,7,4
3,71,Yes,9,8
1,84,No,7,2
4,89,Yes,7,8
5,74,No,6,0
7,40,Yes,6,2
1,86,Yes,7,3
3,97,Yes,6,5
2,84,No,5,9
9,44,No,4,7
6,96,No,9,6
3,52,Yes,5,7
8,93,No,4,5
8,44,No,6,5
2,99,Yes,9,5
6,71,No,5,2
7,90,Yes,8,9
2,60,No,7,3
2,63,Yes,4,5
1,99,Yes,4,6
8,57,No,8,2
1,60,Yes,8,3
9,93,No,7,5
6,49,No,6,0
7,63,No,5,6
7,79,No,5,0
3,86,Yes,5,9
2,60,Yes,6,8
9,64,Yes,7,9
8,91,No,5,8
7,99,No,4,8
9,96,Yes,4,3
4,98,Yes,4,1
4,62,No,8,6
1,61,No,8,3
8,43,No,6,4
3,73,Yes,5,0
7,95,No,8,9
2,45,Yes,4,5
2,67,No,8,6
7,70,Yes,4,2
6,74,No,5,9
3,78,Yes,6,1
9,81,Yes,7,9
6,62,Yes,7,6
6,45,No,4,0
1,55,Yes,8,1
4,41,Yes,8,2
6,63,No,4,3
6,56,Yes,5,4
5,84,Yes,4,3
1,40,No,5,9
8,45,Yes,6,2
5,44,No,6,0
5,96,Yes,4,6
7,84,No,6,9
4,99,Yes,8,5
6,94,Yes,5,1
4,89,Yes,7,1
3,68,No,7,2
7,51,Yes,6,7
8,78,Yes,5,7
4,86,No,8,9
2,42,No,7,9
3,87,No,8,9
1,40,Yes,8,9
8,66,Yes,7,7
3,87,Yes,7,6
7,63,No,6,1
5,83,No,5,0
5,58,Yes,4,5
7,98,Yes,5,7
9,47,No,4,0
5,94,No,7,2
1,83,No,8,0
1,86,Yes,5,9
2,41,No,8,8
6,69,No,5,6
9,69,No,9,7
8,88,No,5,8
5,78,Yes,8,2
1,84,No,9,9
7,71,Yes,6,1
5,40,Yes,7,5
6,77,No,6,4
7,52,No,6,3
3,50,Yes,5,5
3,49,No,7,5
5,87,Yes,9,2
6,98,No,5,1
9,65,Yes,4,8
5,95,Yes,5,7
1,94,Yes,9,3
4,59,No,8,5
5,56,Yes,5,2
5,56,Yes,4,7
7,43,No,5,2
4,44,No,9,1
1,99,Yes,4,6
5,62,Yes,7,2
7,85,No,9,8
6,91,Yes,5,2
5,49,No,4,7
4,85,No,9,1
2,67,No,7,8
4,72,Yes,8,0
3,82,No,6,2
1,65,Yes,4,1
8,94,Yes,8,6
5,89,No,7,4
4,87,No,8,7
8,68,No,5,1
7,66,No,6,7
2,57,Yes,4,6
1,79,Yes,9,4
4,99,No,7,1
8,49,Yes,6,9
2,97,No,7,6
3,81,Yes,8,9
1,44,Yes,7,3
1,49,Yes,7,3
